                                     mean         std        2.5q        25q        50q         75q      97.5q       mc err
v_subj(DDA.neutral).4             4.08825    0.307414     3.49687     3.8767    4.08146     4.29349    4.71593    0.0109651
v_subj(DDA.neutral).5             5.27805    0.438268     4.45733    4.98284    5.26724     5.55496    6.19867    0.0263777
v_subj(DDA.neutral).6               6.994    0.553999     5.90849     6.6314     6.9847     7.36143    8.07826    0.0302816
v_subj(DDA.neutral).7               5.172    0.418745     4.40271    4.88278    5.15394     5.44414    6.06542    0.0181078
v_subj(DDA.neutral).8             3.59488    0.296633     3.03219    3.39275    3.58834     3.78418    4.19408    0.0120337
v_subj(DDA.neutral).9             3.97934    0.307515     3.37435     3.7725    3.98044     4.17752    4.60678    0.0147557
v_subj(HC.hoarding).10            1.01369     0.36679    0.586616    0.83102   0.967965     1.12852    1.69161    0.0168812
v_subj(HC.hoarding).11            2.91889    0.315706     2.36725    2.70741    2.89977     3.11031    3.58268   0.00893009
v_subj(HC.hoarding).12            1.27825     1.80642    -1.35969 -0.0577306   0.750495     2.47674    5.25074    0.0622242
v_subj(HC.hoarding).13            1.39128    0.655162    0.368764   0.893991     1.3133     1.82856    2.79608    0.0191064
v_subj(HC.hoarding).14             4.3321     1.14997     1.76783    3.66615    4.49785     5.11033    6.30524    0.0757211
v_subj(HC.hoarding).15            1.53986    0.921415    0.650594   0.978476    1.22132     1.71858    4.27349    0.0448747
v_subj(HC.hoarding).16            8.16512    0.996445      6.2011    7.48239    8.16178     8.82596    10.1462    0.0286582
v_subj(HC.hoarding).17            3.39568    0.599385     2.40657     2.9769    3.33004     3.73546    4.79821    0.0191609
v_subj(HC.hoarding).18            4.09306    0.561612     3.05945    3.69505    4.07089     4.45729    5.25513    0.0207619
v_subj(HC.hoarding).19            2.10644    0.262187     1.61843    1.92744     2.1049     2.27413     2.6284   0.00633667
v_subj(HC.hoarding).20            1.17892    0.214608    0.810955    1.03193    1.16057     1.30783    1.64228   0.00525811
v_subj(HC.hoarding).21            1.73549    0.780801    0.605682    1.08622     1.6476     2.25135    3.41072    0.0389551
v_subj(HC.hoarding).22            1.55135      1.8926   -0.947569    0.14585   0.946368     2.74401    6.09426    0.0745041
v_subj(HC.hoarding).23            10.4333    0.874583     8.68754    9.87673    10.4447     11.0441    12.1274    0.0469979
